idx,exact_offsets,exact_offset_count,candidate_offsets,input_shape
0,"5,6",1,"{""nz_bbox_tl"": [0, 0], ""mode_color_bbox_tl"": [0, 0], ""mode_color_centered"": [2, 2], ""least_color_bbox_tl"": [1, 0], ""least_color_centered"": [3, 4], ""color8_bbox_tl"": [0, 0], ""color8_centered"": [2, 2], ""comp_size_desc_tl"": [0, 0], ""comp_size_desc_clamped"": [0, 0], ""comp_area_desc_tl"": [0, 0], ""comp_area_desc_clamped"": [0, 0], ""comp_r0_asc_tl"": [0, 0], ""comp_r0_asc_clamped"": [0, 0], ""comp_c0_asc_tl"": [0, 0], ""comp_c0_asc_clamped"": [0, 0], ""comp_color_asc_tl"": [1, 0], ""comp_color_asc_clamped"": [1, 0]}",9x9
1,"4,2",1,"{""nz_bbox_tl"": [0, 1], ""mode_color_bbox_tl"": [0, 1], ""mode_color_centered"": [3, 4], ""least_color_bbox_tl"": [0, 2], ""least_color_centered"": [3, 3], ""color8_bbox_tl"": [0, 1], ""color8_centered"": [3, 4], ""comp_size_desc_tl"": [6, 6], ""comp_size_desc_clamped"": [6, 6], ""comp_area_desc_tl"": [0, 1], ""comp_area_desc_clamped"": [0, 1], ""comp_r0_asc_tl"": [0, 1], ""comp_r0_asc_clamped"": [0, 1], ""comp_c0_asc_tl"": [0, 1], ""comp_c0_asc_clamped"": [0, 1], ""comp_color_asc_tl"": [0, 3], ""comp_color_asc_clamped"": [0, 3]}",9x9
2,"4,6",1,"{""nz_bbox_tl"": [0, 0], ""mode_color_bbox_tl"": [0, 0], ""mode_color_centered"": [2, 2], ""least_color_bbox_tl"": [2, 0], ""least_color_centered"": [4, 4], ""color8_bbox_tl"": [0, 0], ""color8_centered"": [2, 2], ""comp_size_desc_tl"": [1, 0], ""comp_size_desc_clamped"": [1, 0], ""comp_area_desc_tl"": [0, 4], ""comp_area_desc_clamped"": [0, 4], ""comp_r0_asc_tl"": [0, 4], ""comp_r0_asc_clamped"": [0, 4], ""comp_c0_asc_tl"": [1, 0], ""comp_c0_asc_clamped"": [1, 0], ""comp_color_asc_tl"": [2, 4], ""comp_color_asc_clamped"": [2, 4]}",9x9
3,"1,6",1,"{""nz_bbox_tl"": [0, 0], ""mode_color_bbox_tl"": [0, 0], ""mode_color_centered"": [3, 3], ""least_color_bbox_tl"": [0, 0], ""least_color_centered"": [2, 4], ""color8_bbox_tl"": [0, 0], ""color8_centered"": [3, 3], ""comp_size_desc_tl"": [4, 0], ""comp_size_desc_clamped"": [4, 0], ""comp_area_desc_tl"": [1, 6], ""comp_area_desc_clamped"": [1, 6], ""comp_r0_asc_tl"": [0, 2], ""comp_r0_asc_clamped"": [0, 2], ""comp_c0_asc_tl"": [4, 0], ""comp_c0_asc_clamped"": [4, 0], ""comp_color_asc_tl"": [0, 2], ""comp_color_asc_clamped"": [0, 2]}",9x9
4,"6,6",1,"{""nz_bbox_tl"": [0, 0], ""mode_color_bbox_tl"": [0, 0], ""mode_color_centered"": [2, 3], ""least_color_bbox_tl"": [0, 0], ""least_color_centered"": [3, 5], ""color8_bbox_tl"": [0, 0], ""color8_centered"": [2, 3], ""comp_size_desc_tl"": [0, 0], ""comp_size_desc_clamped"": [0, 0], ""comp_area_desc_tl"": [6, 6], ""comp_area_desc_clamped"": [6, 6], ""comp_r0_asc_tl"": [0, 0], ""comp_r0_asc_clamped"": [0, 0], ""comp_c0_asc_tl"": [0, 0], ""comp_c0_asc_clamped"": [0, 0], ""comp_color_asc_tl"": [0, 7], ""comp_color_asc_clamped"": [0, 6]}",9x9
5,"6,6",1,"{""nz_bbox_tl"": [1, 0], ""mode_color_bbox_tl"": [1, 0], ""mode_color_centered"": [2, 2], ""least_color_bbox_tl"": [1, 0], ""least_color_centered"": [5, 3], ""color8_bbox_tl"": [1, 0], ""color8_centered"": [2, 2], ""comp_size_desc_tl"": [6, 6], ""comp_size_desc_clamped"": [6, 6], ""comp_area_desc_tl"": [6, 6], ""comp_area_desc_clamped"": [6, 6], ""comp_r0_asc_tl"": [1, 0], ""comp_r0_asc_clamped"": [1, 0], ""comp_c0_asc_tl"": [1, 0], ""comp_c0_asc_clamped"": [1, 0], ""comp_color_asc_tl"": [1, 0], ""comp_color_asc_clamped"": [1, 0]}",9x9
6,"0,5",1,"{""nz_bbox_tl"": [0, 1], ""mode_color_bbox_tl"": [0, 1], ""mode_color_centered"": [3, 3], ""least_color_bbox_tl"": [0, 1], ""least_color_centered"": [2, 4], ""color8_bbox_tl"": [0, 1], ""color8_centered"": [3, 3], ""comp_size_desc_tl"": [4, 1], ""comp_size_desc_clamped"": [4, 1], ""comp_area_desc_tl"": [0, 5], ""comp_area_desc_clamped"": [0, 5], ""comp_r0_asc_tl"": [0, 1], ""comp_r0_asc_clamped"": [0, 1], ""comp_c0_asc_tl"": [0, 1], ""comp_c0_asc_clamped"": [0, 1], ""comp_color_asc_tl"": [0, 5], ""comp_color_asc_clamped"": [0, 5]}",9x9
7,"0,6",1,"{""nz_bbox_tl"": [0, 1], ""mode_color_bbox_tl"": [0, 1], ""mode_color_centered"": [3, 2], ""least_color_bbox_tl"": [0, 3], ""least_color_centered"": [3, 6], ""color8_bbox_tl"": [0, 1], ""color8_centered"": [3, 2], ""comp_size_desc_tl"": [5, 1], ""comp_size_desc_clamped"": [5, 1], ""comp_area_desc_tl"": [0, 6], ""comp_area_desc_clamped"": [0, 6], ""comp_r0_asc_tl"": [0, 1], ""comp_r0_asc_clamped"": [0, 1], ""comp_c0_asc_tl"": [0, 1], ""comp_c0_asc_clamped"": [0, 1], ""comp_color_asc_tl"": [0, 6], ""comp_color_asc_clamped"": [0, 6]}",9x9
8,"0,6",1,"{""nz_bbox_tl"": [0, 1], ""mode_color_bbox_tl"": [0, 1], ""mode_color_centered"": [4, 2], ""least_color_bbox_tl"": [0, 4], ""least_color_centered"": [2, 5], ""color8_bbox_tl"": [0, 1], ""color8_centered"": [4, 2], ""comp_size_desc_tl"": [6, 1], ""comp_size_desc_clamped"": [6, 1], ""comp_area_desc_tl"": [0, 6], ""comp_area_desc_clamped"": [0, 6], ""comp_r0_asc_tl"": [0, 2], ""comp_r0_asc_clamped"": [0, 2], ""comp_c0_asc_tl"": [6, 1], ""comp_c0_asc_clamped"": [6, 1], ""comp_color_asc_tl"": [0, 6], ""comp_color_asc_clamped"": [0, 6]}",9x9
9,"6,5",1,"{""nz_bbox_tl"": [0, 1], ""mode_color_bbox_tl"": [0, 1], ""mode_color_centered"": [3, 4], ""least_color_bbox_tl"": [0, 1], ""least_color_centered"": [3, 2], ""color8_bbox_tl"": [0, 1], ""color8_centered"": [3, 2], ""comp_size_desc_tl"": [6, 5], ""comp_size_desc_clamped"": [6, 5], ""comp_area_desc_tl"": [0, 1], ""comp_area_desc_clamped"": [0, 1], ""comp_r0_asc_tl"": [0, 1], ""comp_r0_asc_clamped"": [0, 1], ""comp_c0_asc_tl"": [0, 1], ""comp_c0_asc_clamped"": [0, 1], ""comp_color_asc_tl"": [0, 1], ""comp_color_asc_clamped"": [0, 1]}",9x9
